,HR,R,RBI,SB,W,SOLD,SO
"Lars Nootbaar (STL)",16,64,58,8,0,0,0
"Jeimer Candelario (CIN)",21,68,75,4,0,0,0
"Tyler O'Neill (BOS)",22,69,65,14,0,0,0
"Brandon Drury (LAA)",22,64,70,2,0,0,0
"Edouard Julien (MIN)",15,71,56,8,0,0,0
"Starling Marte (NYM)",9,63,43,30,0,0,0
"Brayan Bello (BOS)",0,0,0,0,11,0,142
"Triston McKenzie (CLE)",0,0,0,0,8,0,141
"Cristopher Sanchez (PHI)",0,0,0,0,9,0,130
"Ryan McMahon (COL)",22,75,74,7,0,0,0
"Robert Stephenson (LAA)",0,0,0,0,3,24,71
"Yusei Kikuchi (TOR)",0,0,0,0,9,0,157
"Tyler Stephenson (CIN)",12,48,51,1,0,0,0
"Taylor Ward (LAA)",21,74,70,6,0,0,0
"Reid Detmers (LAA)",0,0,0,0,8,0,164
"Kerry Carpenter (DET)",19,66,68,6,0,0,0
"Charlie Morton (ATL)",0,0,0,0,10,0,156
"Carlos Estevez (LAA)",0,0,0,0,3,24,67
"Eloy Jimenez (CHW)",22,63,68,0,0,0,0
"Kyle Finnegan (WSN)",0,0,0,0,4,27,66
"Lourdes Gurriel Jr. (ARI)",14,67,70,5,0,0,0
"Luis Rengifo (LAA)",16,66,59,12,0,0,0
"Jack Suwinski (PIT)",23,66,69,9,0,0,0
"Andrew Vaughn (CHW)",22,69,74,0,0,0,0
"Taj Bradley (TBR)",0,0,0,0,8,0,137
"Nestor Cortes (NYY)",0,0,0,0,8,0,132
"Vaughn Grissom (BOS)",10,61,54,10,0,0,0
"Carlos Correa (MIN)",22,71,75,0,0,0,0
"Ryan Mountcastle (BAL)",21,68,73,5,0,0,0
"Shea Langeliers (OAK)",19,50,58,3,0,0,0
"Henry Davis (PIT)",14,58,55,9,0,0,0
"Kenta Maeda (DET)",0,0,0,0,8,0,136
"Byron Buxton (MIN)",25,66,67,11,0,0,0
"Jung Hoo Lee (SFG)",11,72,67,7,0,0,0
"Jorge Polanco (SEA)",22,66,68,7,0,0,0
"Justin Turner (TOR)",14,57,60,2,0,0,0
"Shane Baz (TBR)",0,0,0,0,6,1,93
"Nick Lodolo (CIN)",0,0,0,0,6,0,132
"Kutter Crawford (BOS)",0,0,0,0,8,0,138
"Ryan Jeffers (MIN)",15,45,47,3,0,0,0
"Junior Caminero ()",11,38,41,4,0,0,0
"Elias Diaz (COL)",15,50,56,0,0,0,0
"J.D. Martinez ()",21,57,67,0,0,0,0
"Seth Lugo (KCR)",0,0,0,0,8,0,126
"Kyle Harrison (SFG)",0,0,0,0,6,0,149
"Danny Jansen (TOR)",18,45,51,1,0,0,0
"Griffin Canning (LAA)",0,0,0,0,8,0,150
"Gavin Lux (LAD)",11,62,51,9,0,0,0
"Hunter Harvey (WSN)",0,0,0,0,3,26,67
"Marcus Stroman (NYY)",0,0,0,0,10,0,128
"Alejandro Kirk (TOR)",10,42,42,0,0,0,0
"Brandon Lowe (TBR)",21,60,64,5,0,0,0
"J.P. Crawford (SEA)",12,70,57,3,0,0,0
"Emmet Sheehan (LAD)",0,0,0,0,6,0,105
"Leody Taveras (TEX)",12,61,49,18,0,0,0
"Yuki Matsui (SDP)",0,0,0,0,2,23,78
"Whit Merrifield (PHI)",7,54,43,21,0,0,0
"Anthony Rizzo (NYY)",20,64,63,5,0,0,0
"Kris Bryant (COL)",16,63,62,3,0,0,0
"Eugenio Suarez (ARI)",24,72,84,1,0,0,0
"Matt Chapman (SFG)",29,79,82,4,0,0,0
"Andrew Abbott (CIN)",0,0,0,0,8,0,142
"Bryan De La Cruz (MIA)",16,66,69,4,0,0,0
"MacKenzie Gore (WSN)",0,0,0,0,8,0,149
"Jonathan India (CIN)",16,66,62,11,0,0,0
"Sal Frelick (MIL)",9,66,53,15,0,0,0
"Zach Neto (LAA)",18,66,63,7,0,0,0
"Parker Meadows (DET)",13,59,50,12,0,0,0
"Max Kepler (MIN)",20,65,65,4,0,0,0
"Luis Severino (NYM)",0,0,0,0,7,0,119
"Will Smith (KCR)",0,0,0,0,2,24,60
"Josh Bell (MIA)",19,69,73,0,0,0,0
"Nelson Velazquez (KCR)",18,51,55,8,0,0,0
"Jose Siri (TBR)",18,58,53,20,0,0,0
"Colt Keith (DET)",13,54,55,3,0,0,0
"Edward Cabrera (MIA)",0,0,0,0,8,0,139
"Michael Wacha (KCR)",0,0,0,0,8,0,112
"Jose Abreu (HOU)",21,71,75,1,0,0,0
"Willi Castro (MIN)",10,52,38,20,0,0,0
"Giancarlo Stanton (NYY)",27,57,68,0,0,0,0
"Chris Paddack (MIN)",0,0,0,0,8,0,107
"Brendan Donovan (STL)",9,63,52,6,0,0,0
"MJ Melendez (KCR)",21,71,71,6,0,0,0
"Austin Wells (NYY)",13,42,44,3,0,0,0
"Reese Olson (DET)",0,0,0,0,7,0,126
"Lance Lynn (STL)",0,0,0,0,10,0,153
"Ryan Pressly (HOU)",0,0,0,0,4,21,68
