Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Alex Wood,OAK,Alex Wood (OAK),0,0,0,0,0,6,0,0,93,1.33,4.49,360.87,344,355,0,0,0,0,0,0,0,0,1
Pete Fairbanks,TBR,Pete Fairbanks (TBR),0,0,0,0,0,3,29,3,75,1.1,2.85,88.74,67,120,0,0,0,0,0,0,0,0,1
Jhony Brito,SDP,Jhony Brito (SDP),0,0,0,0,0,7,0,1,78,1.28,4.21,360.56,340,360,0,0,0,0,0,0,0,0,1
Andrés Muñoz,SEA,Andres Munoz (SEA),0,0,0,0,0,4,29,4,79,1.13,2.94,77.38,51,103,0,0,0,0,0,0,0,0,1
Clayton Kershaw,LAD,Clayton Kershaw (LAD),0,0,0,0,0,4,0,0,50,1.19,3.75,359.12,282,358,0,0,0,0,0,0,0,0,1
Luis Gil,NYY,Luis Gil (NYY),0,0,0,0,0,4,0,1,97,1.31,4.29,335.08,249,360,0,0,0,0,0,0,0,0,1
Tylor Megill,NYM,Tylor Megill (NYM),0,0,0,0,0,7,0,1,97,1.38,4.63,346.44,260,359,0,0,0,0,0,0,0,0,1
Matt Manning,DET,Matt Manning (DET),0,0,0,0,0,5,0,0,73,1.3,4.58,355.07,289,360,0,0,0,0,0,0,0,0,1
Trevor Megill,MIL,Trevor Megill (MIL),0,0,0,0,0,3,6,9,73,1.27,3.91,336.61,214,359,0,0,0,0,0,0,0,0,1
José Alvarado,PHI,Jose Alvarado (PHI),0,0,0,0,0,3,23,7,84,1.25,3.1,160.8,112,203,0,0,0,0,0,0,0,0,1
Patrick Corbin,WSN,Patrick Corbin (WSN),0,0,0,0,0,7,0,0,112,1.47,5.2,360.8,326,326,0,0,0,0,0,0,0,0,1
Robert Gasser,MIL,Robert Gasser (MIL),0,0,0,0,0,4,0,1,70,1.35,4.51,360.97,356,356,0,0,0,0,0,0,0,0,1
Matt Waldron,SDP,Matt Waldron (SDP),0,0,0,0,0,4,0,0,66,1.32,4.72,360.99,359,359,0,0,0,0,0,0,0,0,1
David Bednar,PIT,David Bednar (PIT),0,0,0,0,0,3,30,2,73,1.18,3.24,89.07,55,145,0,0,0,0,0,0,0,0,1
Tyler Wells,BAL,Tyler Wells (BAL),0,0,0,0,0,6,0,1,96,1.19,4.29,288.24,181,355,0,0,0,0,0,0,0,0,1
Ryan Pressly,HOU,Ryan Pressly (HOU),0,0,0,0,0,4,5,16,69,1.13,3.39,325.72,108,360,0,0,0,0,0,0,0,0,1
Hunter Harvey,WSN,Hunter Harvey (WSN),0,0,0,0,0,3,13,13,67,1.15,3.54,259.9,154,346,0,0,0,0,0,0,0,0,1
Ryan Helsley,STL,Ryan Helsley (STL),0,0,0,0,0,4,26,4,81,1.17,3.13,99.07,74,126,0,0,0,0,0,0,0,0,1
Ricky Tiedemann,TOR,Ricky Tiedemann (TOR),0,0,0,0,0,2,0,0,56,1.29,4,347.61,257,360,0,0,0,0,0,0,0,0,1
Nick Nastrini,CHW,Nick Nastrini (CHW),0,0,0,0,0,5,0,0,101,1.43,4.97,360.59,326,356,0,0,0,0,0,0,0,0,1
Sawyer Gipson-Long,DET,Sawyer Gipson-Long (DET),0,0,0,0,0,4,0,1,68,1.25,4.25,360.39,313,358,0,0,0,0,0,0,0,0,1
Gavin Stone,LAD,Gavin Stone (LAD),0,0,0,0,0,5,0,1,83,1.31,4.35,282.79,200,359,0,0,0,0,0,0,0,0,1
Clay Holmes,NYY,Clay Holmes (NYY),0,0,0,0,0,4,29,4,67,1.23,3.31,98.44,75,123,0,0,0,0,0,0,0,0,1
Camilo Doval,SFG,Camilo Doval (SFG),0,0,0,0,0,5,33,1,78,1.22,3.25,61.23,42,81,0,0,0,0,0,0,0,0,1
Javier Assad,CHC,Javier Assad (CHC),0,0,0,0,0,5,0,2,78,1.38,4.28,360.59,296,353,0,0,0,0,0,0,0,0,1
Chris Martin,BOS,Chris Martin (BOS),0,0,0,0,0,4,4,16,59,1.17,3.43,358.89,271,357,0,0,0,0,0,0,0,0,1
Joe Kelly,LAD,Joe Kelly (LAD),0,0,0,0,0,3,2,15,71,1.28,3.75,360.65,322,353,0,0,0,0,0,0,0,0,1
Bryce Elder,ATL,Bryce Elder (ATL),0,0,0,0,0,5,0,0,68,1.36,4.39,359.45,296,356,0,0,0,0,0,0,0,0,1
