Name,Team,player,HR,R,RBI,SB,OBP,W,SV,HLD,SO,WHIP,ERA,ADP,MinDP,MaxDP,C,1B,2B,3B,SS,INF,OF,UT,P
Trea Turner,PHI,Trea Turner (PHI),24,93,84,32,0.331,0,0,0,0,0,0,12.66,8,19,0,0,0,0,1,1,0,1,0
Sean Murphy,ATL,Sean Murphy (ATL),20,62,62,0,0.343,0,0,0,0,0,0,146.67,115,183,1,0,0,0,0,0,0,1,0
Bo Bichette,TOR,Bo Bichette (TOR),23,86,84,15,0.333,0,0,0,0,0,0,39.42,26,56,0,0,0,0,1,1,0,1,0
William Contreras,MIL,William Contreras (MIL),19,69,72,3,0.339,0,0,0,0,0,0,78.42,61,97,1,0,0,0,0,0,0,1,0
Bryce Harper,PHI,Bryce Harper (PHI),27,91,89,12,0.387,0,0,0,0,0,0,17.23,10,24,0,1,0,0,0,1,0,1,0
Vladimir Guerrero Jr.,TOR,Vladimir Guerrero Jr. (TOR),31,93,97,7,0.366,0,0,0,0,0,0,30.46,13,45,0,1,0,0,0,1,0,1,0
Marcus Semien,TEX,Marcus Semien (TEX),28,94,88,17,0.332,0,0,0,0,0,0,30.12,16,41,0,0,1,0,0,1,0,1,0
Jose Altuve,HOU,Jose Altuve (HOU),25,88,79,13,0.351,0,0,0,0,0,0,40.66,26,66,0,0,1,0,0,1,0,1,0
Cal Raleigh,SEA,Cal Raleigh (SEA),27,60,73,1,0.296,0,0,0,0,0,0,143.03,108,185,1,0,0,0,0,0,0,1,0
Xander Bogaerts,SDP,Xander Bogaerts (SDP),19,80,78,10,0.35,0,0,0,0,0,0,101.31,70,130,0,0,1,0,1,1,0,1,0
Manny Machado,SDP,Manny Machado (SDP),30,80,90,9,0.337,0,0,0,0,0,0,54.91,37,71,0,0,0,1,0,1,0,1,0
Brandon Nimmo,NYM,Brandon Nimmo (NYM),19,85,70,5,0.363,0,0,0,0,0,0,193.47,155,250,0,0,0,0,0,0,1,1,0
Ketel Marte,ARI,Ketel Marte (ARI),21,83,81,7,0.35,0,0,0,0,0,0,113.74,84,150,0,0,1,0,0,1,0,1,0
Ozzie Albies,ATL,Ozzie Albies (ATL),29,92,88,18,0.325,0,0,0,0,0,0,23.41,15,34,0,0,1,0,0,1,0,1,0
Luis Robert Jr.,CHW,Luis Robert Jr. (CHW),32,87,86,20,0.322,0,0,0,0,0,0,32.72,20,57,0,0,0,0,0,0,1,1,0
Pete Alonso,NYM,Pete Alonso (NYM),42,89,107,5,0.343,0,0,0,0,0,0,24.84,15,35,0,1,0,0,0,1,0,1,0
Gleyber Torres,NYY,Gleyber Torres (NYY),24,82,78,16,0.334,0,0,0,0,0,0,73.79,50,105,0,0,1,0,0,1,0,1,0
Dansby Swanson,CHC,Dansby Swanson (CHC),24,82,81,15,0.327,0,0,0,0,0,0,127.94,90,186,0,0,0,0,1,1,0,1,0
Isaac Paredes,TBR,Isaac Paredes (TBR),27,67,77,1,0.335,0,0,0,0,0,0,191.6,96,266,0,1,0,1,0,1,0,1,0
J.P. Crawford,SEA,J.P. Crawford (SEA),14,73,60,3,0.35,0,0,0,0,0,0,318.47,190,360,0,0,0,0,1,1,0,1,0
Max Muncy,LAD,Max Muncy (LAD),29,77,82,2,0.348,0,0,0,0,0,0,187.3,123,246,0,0,0,1,0,1,0,1,0
Alejandro Kirk,TOR,Alejandro Kirk (TOR),10,44,44,0,0.344,0,0,0,0,0,0,255.55,180,351,1,0,0,0,0,0,0,1,0
Michael Harris II,ATL,Michael Harris II (ATL),20,87,71,24,0.326,0,0,0,0,0,0,26.03,15,35,0,0,0,0,0,0,1,1,0
Francisco Alvarez,NYM,Francisco Alvarez (NYM),22,54,63,2,0.304,0,0,0,0,0,0,147.73,102,186,1,0,0,0,0,0,0,1,0
J.T. Realmuto,PHI,J.T. Realmuto (PHI),20,70,66,18,0.321,0,0,0,0,0,0,76.63,56,102,1,0,0,0,0,0,0,1,0
Willy Adames,MIL,Willy Adames (MIL),28,76,85,7,0.322,0,0,0,0,0,0,186.36,130,232,0,0,0,0,1,1,0,1,0
Willson Contreras,STL,Willson Contreras (STL),21,67,65,6,0.352,0,0,0,0,0,0,142.59,111,167,1,0,0,0,0,0,0,1,0
Nolan Arenado,STL,Nolan Arenado (STL),27,75,88,5,0.32,0,0,0,0,0,0,105.81,52,140,0,0,0,1,0,1,0,1,0
Jonah Heim,TEX,Jonah Heim (TEX),17,53,58,2,0.297,0,0,0,0,0,0,177.97,140,226,1,0,0,0,0,0,0,1,0
Luis Arraez,MIA,Luis Arraez (MIA),9,73,71,5,0.373,0,0,0,0,0,0,164.61,110,238,0,0,1,0,0,1,0,1,0
Patrick Bailey,SFG,Patrick Bailey (SFG),9,41,41,2,0.291,0,0,0,0,0,0,358.84,294,356,1,0,0,0,0,0,0,1,0
Randy Arozarena,TBR,Randy Arozarena (TBR),23,90,71,32,0.346,0,0,0,0,0,0,43.72,26,59,0,0,0,0,0,0,1,1,0
Carlos Correa,MIN,Carlos Correa (MIN),21,69,72,0,0.338,0,0,0,0,0,0,245.39,121,323,0,0,0,0,1,1,0,1,0
Yandy Díaz,TBR,Yandy Diaz (TBR),16,73,68,3,0.371,0,0,0,0,0,0,134.93,99,184,0,1,0,0,0,1,0,1,0
Royce Lewis,MIN,Royce Lewis (MIN),23,74,71,17,0.32,0,0,0,0,0,0,48.18,31,70,0,0,0,1,0,1,0,1,0
Jung Hoo Lee,SFG,Jung Hoo Lee (SFG),11,70,65,6,0.341,0,0,0,0,0,0,230.91,124,301,0,0,0,0,0,0,1,1,0
Ha-Seong Kim,SDP,Ha-Seong Kim (SDP),15,75,58,25,0.323,0,0,0,0,0,0,87.64,56,127,0,0,1,1,1,1,0,1,0
Andrés Giménez,CLE,Andres Gimenez (CLE),16,78,64,30,0.323,0,0,0,0,0,0,104.31,82,133,0,0,1,0,0,1,0,1,0
Bryan Reynolds,PIT,Bryan Reynolds (PIT),24,82,86,8,0.348,0,0,0,0,0,0,91.48,70,142,0,0,0,0,0,0,1,1,0
Nico Hoerner,CHC,Nico Hoerner (CHC),10,82,60,33,0.342,0,0,0,0,0,0,65.19,37,92,0,0,1,0,1,1,0,1,0
Bo Naylor,CLE,Bo Naylor (CLE),14,51,52,7,0.309,0,0,0,0,0,0,175.46,146,240,1,0,0,0,0,0,0,1,0
Matt Chapman,SFG,Matt Chapman (SFG),22,73,69,4,0.323,0,0,0,0,0,0,280.53,192,359,0,0,0,1,0,1,0,1,0
Brandon Lowe,TBR,Brandon Lowe (TBR),22,60,64,5,0.329,0,0,0,0,0,0,282.95,210,360,0,0,1,0,0,1,0,1,0
Paul Goldschmidt,STL,Paul Goldschmidt (STL),25,85,84,9,0.35,0,0,0,0,0,0,82.92,41,119,0,1,0,0,0,1,0,1,0
Josh Jung,TEX,Josh Jung (TEX),26,73,81,4,0.311,0,0,0,0,0,0,137.35,96,214,0,0,0,1,0,1,0,1,0
Kyle Schwarber,PHI,Kyle Schwarber (PHI),40,91,104,3,0.348,0,0,0,0,0,0,85.23,48,143,0,0,0,0,0,0,1,1,0
Edouard Julien,MIN,Edouard Julien (MIN),15,70,55,9,0.353,0,0,0,0,0,0,208.45,141,276,0,0,1,0,0,1,0,1,0
Cody Bellinger,CHC,Cody Bellinger (CHC),24,77,77,19,0.325,0,0,0,0,0,0,59.55,23,88,0,1,0,0,0,1,1,1,0
Jorge Polanco,SEA,Jorge Polanco (SEA),21,65,66,7,0.322,0,0,0,0,0,0,242.91,158,328,0,0,1,0,0,1,0,1,0
Keibert Ruiz,WSN,Keibert Ruiz (WSN),15,51,59,2,0.315,0,0,0,0,0,0,181.76,150,237,1,0,0,0,0,0,0,1,0
Jazz Chisholm Jr.,MIA,Jazz Chisholm Jr. (MIA),25,81,66,34,0.312,0,0,0,0,0,0,54.7,34,74,0,0,0,0,0,0,1,1,0
Seiya Suzuki,CHC,Seiya Suzuki (CHC),21,77,73,11,0.353,0,0,0,0,0,0,96.76,56,132,0,0,0,0,0,0,1,1,0
Anthony Volpe,NYY,Anthony Volpe (NYY),19,74,63,22,0.298,0,0,0,0,0,0,119.59,87,142,0,0,0,0,1,1,0,1,0
Ian Happ,CHC,Ian Happ (CHC),20,79,72,12,0.346,0,0,0,0,0,0,178.95,131,226,0,0,0,0,0,0,1,1,0
Christian Yelich,MIL,Christian Yelich (MIL),17,82,65,23,0.361,0,0,0,0,0,0,74.86,51,95,0,0,0,0,0,0,1,1,0
CJ Abrams,WSN,CJ Abrams (WSN),15,76,57,35,0.299,0,0,0,0,0,0,33.75,19,50,0,0,0,0,1,1,0,1,0
Jeremy Peña,HOU,Jeremy Pena (HOU),15,75,63,16,0.312,0,0,0,0,0,0,236.24,138,318,0,0,0,0,1,1,0,1,0
Logan O'Hoppe,LAA,Logan O'Hoppe (LAA),22,60,64,4,0.315,0,0,0,0,0,0,156.93,121,199,1,0,0,0,0,0,0,1,0
Taylor Ward,LAA,Taylor Ward (LAA),20,72,67,6,0.346,0,0,0,0,0,0,221.23,163,295,0,0,0,0,0,0,1,1,0
Anthony Rendon,LAA,Anthony Rendon (LAA),12,54,49,3,0.349,0,0,0,0,0,0,359.95,301,360,0,0,0,1,0,1,0,1,0
Bryson Stott,PHI,Bryson Stott (PHI),14,72,62,21,0.322,0,0,0,0,0,0,110.72,55,174,0,0,1,0,0,1,0,1,0
Byron Buxton,MIN,Byron Buxton (MIN),25,63,66,11,0.311,0,0,0,0,0,0,195.03,101,279,0,0,0,0,0,0,0,1,0
Zach Neto,LAA,Zach Neto (LAA),17,65,62,8,0.315,0,0,0,0,0,0,300.68,224,360,0,0,0,0,1,1,0,1,0
Evan Carter,TEX,Evan Carter (TEX),15,73,56,16,0.33,0,0,0,0,0,0,107.21,66,193,0,0,0,0,0,0,1,1,0
Riley Greene,DET,Riley Greene (DET),16,74,63,9,0.337,0,0,0,0,0,0,147.78,102,178,0,0,0,0,0,0,1,1,0
Adolis García,TEX,Adolis Garcia (TEX),34,87,89,17,0.306,0,0,0,0,0,0,43.34,21,77,0,0,0,0,0,0,1,1,0
Nolan Gorman,STL,Nolan Gorman (STL),26,66,77,5,0.311,0,0,0,0,0,0,179.6,136,226,0,0,1,0,0,1,0,1,0
Elly De La Cruz,CIN,Elly De La Cruz (CIN),20,84,66,34,0.307,0,0,0,0,0,0,21.4,12,33,0,0,0,1,1,1,0,1,0
Jeff McNeil,NYM,Jeff McNeil (NYM),8,62,56,4,0.338,0,0,0,0,0,0,329.13,205,359,0,0,1,0,0,1,1,1,0
Nathaniel Lowe,TEX,Nathaniel Lowe (TEX),19,76,69,3,0.356,0,0,0,0,0,0,296.64,168,359,0,1,0,0,0,1,0,1,0
Vinnie Pasquantino,KCR,Vinnie Pasquantino (KCR),20,71,75,2,0.354,0,0,0,0,0,0,168.6,132,230,0,1,0,0,0,1,0,1,0
Danny Jansen,TOR,Danny Jansen (TOR),15,36,43,1,0.304,0,0,0,0,0,0,346.64,226,360,1,0,0,0,0,0,0,1,0
Steven Kwan,CLE,Steven Kwan (CLE),5,73,55,17,0.349,0,0,0,0,0,0,213.61,133,291,0,0,0,0,0,0,1,1,0
